wtf,1
me and my son really appreciate you for the eye operation bills paid im really excited about all what you have done im so grateful sir,1
me and my son really appreciate you for the eye operation bills paid im really excited about all what you have done im so grateful sir,1
we need more kind of story of beijing 2022 please,1
madison and bates should have placed  were unique different and perfect,1
cool,1
actually its not so rare for athletes to have relationships with each other i highly doubt olympic athletes put  relationship goals over athletic ones how superficial to suggest so but what else to expect from this dumb video full of errors i mean its barely a minute long you couldnt do any research,1
wow what happened to gold mentalist  in america we cherish more on 2nd and 3rd fellow americans if that is the case we need to catch up,1
team koko didnt win a bronze team medal they lost a silver team medal for japan,1
not madison,1
this is like covering the 1936 olympics  perhaps theres a  contestant that can be the jesse owens of 2022,1
wtf,1
me and my son really appreciate you for the eye operation bills paid im really excited about all what you have done im so grateful sir,1
me and my son really appreciate you for the eye operation bills paid im really excited about all what you have done im so grateful sir,1
we need more kind of story of beijing 2022 please,1
madison and bates should have placed  were unique different and perfect,1
cool,1
actually its not so rare for athletes to have relationships with each other i highly doubt olympic athletes put  relationship goals over athletic ones how superficial to suggest so but what else to expect from this dumb video full of errors i mean its barely a minute long you couldnt do any research,1
wow what happened to gold mentalist  in america we cherish more on 2nd and 3rd fellow americans if that is the case we need to catch up,1
team koko didnt win a bronze team medal they lost a silver team medal for japan,1
not madison,1
this is like covering the 1936 olympics  perhaps theres a  contestant that can be the jesse owens of 2022,1
why aren't they serving quarantine food,1
where did the money come from and a little bit of peeling in between and starting from scratch,1
why aren't they serving quarantine food,1
where did the money come from and a little bit of peeling in between and starting from scratch,1
small share hong kong common  deed is pronounced as  and  uses deed word more common pronunciation is such as deed,1
long live the great rejuvenation of the greater china nation long live the prosperity of the greater china long live the great chinese hero children family education important thank you great chinese mother  traditional thinking of chinese culture is the basic logic for little sister  to love china and become a chinese citizen,1
she was born and raised in the united states and now for us to be proud of her is the greatest disgrace to the chinese nation in chinese history,1
thank you very much for sharing the pride of the chinese people,1
even though i don't understand  i still click  before leaving,1
pair of fancy,1
my baby girl can be friends with zhu yi,1
the chinese communist party did not allow dual  dual citizenship is illegal and  today the chinese communist party and the chinese communist party  with each other to do illegal activities as a part of the national olympic committee,1
the chinese communist party did not allow dual  dual citizenship is illegal and  today the chinese communist party and the chinese communist party  with each other to do illegal activities as a part of the national olympic committee,1
the chinese communist party did not allow dual  dual citizenship is illegal and  today the chinese communist party and the chinese communist party  with each other to do illegal activities as a part of the national olympic committee,1
the demon said what spring all are rebels,1
cheer for the athletes returning to  no matter whether they win or  we should thank them for bearing infinite pressure to compete for the national  cheer for them   zhu yi fell  but also encourage her to overcome her own obstacles,1
good,1
a good bird chooses wood for its perch,1
she is bought by  with the  money of the chinese people for us to fight for the power of the  if you refuse to accept  let her make a video of  us citizenship and vow not to restore us  after the sports  she will be restored,1
show,1
way better than beijing 2022,1
what happens to the knees from years of jumping from these,1
there is some real talent here impressive,1
aerodynamic  gave him the added lift he needed for the longest jump,1
its courage not like any other sports and i love it its not easy to fly like a  india,1
amazing,1
they are flying literally,1
wonderful ski jumpers congratulations to all participants,1
cant believe this is a sport,1
i am the way the truth and life no one goes to the father except through me mary buddha,1
aku yo,1
that stash will get the,1
eddie the eagle brought me here,1
sky jumping people pretending to be flying squirrels,1
winter olympic games are better than summer olympic games,1
b t,1
this is fun,1
hair needs to be done smoother than the house k needs to dye,1
a letter in hong kong or mainland,1
are you going to have a baby,1
tian  knows english too  but i thought you were only good at,1
chinese angel,1
nowadays only stupid believe in you it is not 1990 when you can lie anything about china,1
fake news that anyone who has eyes can see  on you,1
everyone knows chinese cant live without hot food no hot food is obviously a joke,1
you can guarantee that the chinese athletes are being well fed and looked after,1
this is  not chinese  lie,1
this is not chinese food this video is lie,1
political funded shit video,1
chow,1
why not order kfc they are everywhere in china,1
this is a true lie paid by the us how come no one else is complaining about it,1
athletes from 160 countries from garbage countries in africa have they ever seen ice and snow on their own  answer,1
the party's cosmic fleet is ready to realize the dream of a powerful earth my motherland,1
support the global observation of china winter olympic games athletes come on and win glory for the country,1
will the future through virtual currency brother chives,1
the evil of the east and the evil of the west,1
terrible american world disaster,1
the 2022 beijing winter olympics are socially responsible and  what i can't see is what i see on the mirror in the central singing  and saying that his place is the first in asia,1
too careful,1
it's like being in the future,1
happy new year and good health,1
china's power,1
hand up,1
very sweet,1
chinese technology doesn't impress you,1
i like your channel very  thank you for your  i'm looking forward to your new works,1
true the united states,1
support,1
the only regret is that it's so short that i have to play it again because i haven't decided what to say in my message yet,1
little sister's film is to see,1
was more cordial,1
2 what a great  enjoy it,1
immigrants to the united states ski,1
the  girl  si vert respectful andré cheerful she has taken off her hat when,1
,1
wang meng and zhou yang are both the pride of the chinese people,1
zhou yang refueling you are the pride of chinese people,1
why are there so many false starts,1
unbelievable wang meng,1
the other chinese player won the  wow,1
wang meng and zhou yang are marvelous,1
wang meng is the best speed skater i have ever seen,1
thank you for  this video,1
are skaters allowed to push opponents in the race,1
wonderful,1
how tedious listening to 2 languages in non stop babble  announcing the inuit and other first nations got screwed by the two invading forces and must listen to the loss all day every day,1
look at her shes incredible speedskating for china,1
is good,1
it seems that they should be  they must speak the china story well or they will be disqualified,1
i don't want to eat after the game,1
the chinese are a nation of rites and  when friends  they will be entertained with food and  when enemies  they will be served with shotguns,1
they will smear china again when they return,1
support and good job    bravo to china rise peacefully and be strong     together for a shared future,1
come visiting again you are very welcome,1
the original world games food is better than garbage,1
small west eight kou say not delicious steal watermelon by yue this dozen face,1
alas has been after 2 years because of the epidemic did not go to  to eat too 2  cabbage fish yu yue boiling fish very lost,1
wow so lucky,1
there is a big complaint from one country that we do have some inconsiderate places where we want to give the leftover food of the american athletes to the korean athletes and give them the most authentic korean army pot and a portion of the feces in the bathroom to the korean athletes and give them the authentic korean liquor,1
china never slacks on vanity projects,1
they better watch their weight i keep seeing them usa team  lots of food lol,1
forget about foreign  even visiting friends across cities in china has to eat your hand on the wall,1
the horse to the wall,1
are all korean athletes  if you eat too much spicy  your brain cells will die,1
eat less because losing weight can be difficult,1
the athletes are too happy,1
it seems that they should be  they must speak the china story well or they will be disqualified,1
i don't want to eat after the game,1
the chinese are a nation of rites and  when friends  they will be entertained with food and  when enemies  they will be served with shotguns,1
they will smear china again when they return,1
support and good job    bravo to china rise peacefully and be strong     together for a shared future,1
come visiting again you are very welcome,1
the original world games food is better than garbage,1
small west eight kou say not delicious steal watermelon by yue this dozen face,1
alas has been after 2 years because of the epidemic did not go to  to eat too 2  cabbage fish yu yue boiling fish very lost,1
wow so lucky,1
there is a big complaint from one country that we do have some inconsiderate places where we want to give the leftover food of the american athletes to the korean athletes and give them the most authentic korean army pot and a portion of the feces in the bathroom to the korean athletes and give them the authentic korean liquor,1
china never slacks on vanity projects,1
they better watch their weight i keep seeing them usa team  lots of food lol,1
forget about foreign  even visiting friends across cities in china has to eat your hand on the wall,1
the horse to the wall,1
are all korean athletes  if you eat too much spicy  your brain cells will die,1
eat less because losing weight can be difficult,1
the athletes are too happy,1
it seems that they should be  they must speak the china story well or they will be disqualified,1
i don't want to eat after the game,1
the chinese are a nation of rites and  when friends  they will be entertained with food and  when enemies  they will be served with shotguns,1
they will smear china again when they return,1
support and good job    bravo to china rise peacefully and be strong     together for a shared future,1
come visiting again you are very welcome,1
the original world games food is better than garbage,1
small west eight kou say not delicious steal watermelon by yue this dozen face,1
alas has been after 2 years because of the epidemic did not go to  to eat too 2  cabbage fish yu yue boiling fish very lost,1
wow so lucky,1
there is a big complaint from one country that we do have some inconsiderate places where we want to give the leftover food of the american athletes to the korean athletes and give them the most authentic korean army pot and a portion of the feces in the bathroom to the korean athletes and give them the authentic korean liquor,1
china never slacks on vanity projects,1
they better watch their weight i keep seeing them usa team  lots of food lol,1
forget about foreign  even visiting friends across cities in china has to eat your hand on the wall,1
the horse to the wall,1
are all korean athletes  if you eat too much spicy  your brain cells will die,1
eat less because losing weight can be difficult,1
the athletes are too happy,1
wow,1
ignorant racist troll,1
wow incredible,1
its so beautiful i really want to go to china one day,1
wow very  why  china haters are so jealous about,1
,1
i wanna be there too,1
nice,1
left right and center great ending,1
from what i saw he went there to take a nap,1
go putin,1
great imagination but incredibly delusional looking at this anchor stupid face is fun though in  seek solace to calm themselves,1
russia will not help india if india go to war with china or pakistan  buying weapons from russia will not mean anything to russia,1
the russians do not need to worry about india looking at russian territory and saying these lands are historically indian and we want these lands back but that is not true with china who has already mentioned that part of the russian far east was taken from china in an unjust treaty and is historically theirs      russia is also in a difficult position with china in that russia is right now isolated in the world and facing a deeper isolation if it invades ukraine so it needs china    but you can bet that china views russia as the subordinate in this relationship something that cannot sit well with putin   at the same time while i think it is important for india to maintain its historical ties with russia  political future lies with the quad     russia has given tacit support to  attempts to annex the south china sea and to eventually annex taiwan in exchange for  support of  potential invasion of ukraine and its political battle with nato     russia needs china right now but is competing directly with,1
simply  keep your friends close and your enemy closer  do not trust russia,1
question india gives its loyalty to russia but if india has to go to war with china will russia give its loyalty to india whose side do you think russia will be on my guess is russia will opt out to defend india and take a neutral position just like india did if the world falls apart who will come to assist india if they need help russia will never go against china to defend india be careful of how you choose your friends because they can easily become your enemy,1
china wants to be totalitarian master of the planet putting russia at the rear of ever decision surely putin knows this,1
putin has a war to plan,1
not even can come between russia and india time tested friendship no hidden agenda in the friendship,1
amazing that putin can be friends with china and india 2 great countries how can that be seen as a negative,1
what it really tells you is that both china and russia put themselves before all others including their so called partners,1
putin makes bold statements with sheets of silence,1
,1
dear miss  why do you name yourself  is it because your chinese friends and colleagues having difficulty pronounce your chinese name  and you do not want them to butcher your beautiful chinese name that actually has a meaning rather than just a sound in the air or is it because one of your parents is caucasian please kindly answer my question as i have been searching for this answer for quite sometime but i still cannot crack the code of this  enigmatic love for anything western from chinese people while at the same time the west hate anything chinese with a passion this is bizarre you know because even a stranded dog lives not far from my home  knows how to walk away when a pack of arrogant  dogs  reject him,1
china is one of the biggest mass murders in not only modern times but the past also even surpassing hitler,1
brilliant  go on china   england,1
wow she is beautiful mind and spirit physical  10 10 10,1
dont forget every piece of architecture must take into consideration the principle of feng,1
nonsense using the young generation to keep the old dinosaurs in power,1
architecture is currently  in the world,1
she have lots more to contribute to,1
i like the way she is dedicated to her work,1
chinese university international students our life ongoing to destroy because its not possible study online more than two years almost every country open border accept china even china also open for others but only students still now no news we cant sleep and think anything our hope dreams destroying please dont miss understand were  and ready to follow like   for china china is our second land,1
thank u,1
she is the future of china,1
young is this phd well done,1
,1
architecture which has beauty and integrates with nature is awesome,1
very positive and forward looking young lady with people like her  has a bright future,1
the robot restaurant in the winter olympic village has attracted many foreign athletes in fact robot restaurants have been popular in chinese cities for several years,1
there isnt a single video of these in actual  does it get from the kitchen to be lowered above your table the answer is it doesnt its kabuki,1
98 of the world joins,1
98 of the world joins,1
virus paranoia much,1
dystopian,1
taking away what it means to be human what a shame more controlling though allot more,1
food is reportedly terrible,1
i want one for my  house she would be very satisfied,1
the chinese and english versions of  have always been two worlds hahaha,1
robots lives matter,1
events like this make us temporarily forget the miserable situation we are in right now and look forward to the future,1
this is a different view about china i think your video shows a true china which is not like most of the west political media and expect more real videos from you,1
china has move to robots waitresses now because most waitresses were died due to,1
new type of force  it seems,1
china which cracks down on human rights is not eligible to host the olympics,1
