BxrPZi4z9OA,<START> 543it was stand for mobile phone While you  and spend timehaha
BxrPZi4z9OA,<START> I still remember watching ㅠ ㅠ
BxrPZi4z9OA,<START> Okay its kinda sad that everywhere you stayed was freezing cold Was your room freezing as well In that case were sorry 
BxrPZi4z9OA,<START> came here after seeing the state of Tokyo Olympics I dont know you as an athlete but I hope you showed all you prepared and had no regretsFloors are linolium a bit like hard cork Sometimes when I drop glass on the floor they dont break But dw theyre durable
BxrPZi4z9OA,<START> I came all the way here because I was frustrated to see the Tokyo Athletes' Village
BxrPZi4z9OA,<START> Korea is the best
BxrPZi4z9OA,<START> Thats quite a crappy and unfinished apartment they let you stayed in So much for the Korean hospitality when theyve covered the whole kitchen with plastic boards and prevented you from using it
BxrPZi4z9OA,<START> Also vlad is a great guy
BxrPZi4z9OA,<START> Came back here watching your Olympic videos for inspiration in the sport I do
BxrPZi4z9OA,<START> Im so confused hes got our Aussie gear but he sounds Canadian Can someone explain whats going on please Hope you did well at the games mate
BxrPZi4z9OA,<START> Cool tourI finally moved tooI put up an empty apartment tour video  Check it out and let me know what you thinkSpoiler alert My place is not as pretty as yours P
BxrPZi4z9OA,<START> httpsyoutubec4QjImtkzQ   olympic experience vlogs  music video
BxrPZi4z9OA,<START> I wanted to take picture with you Australia my homecountry
BxrPZi4z9OA,<START> THX for nice info D
BxrPZi4z9OA,<START> Thanks for share the life of the athletes during the WOG Have fun Greetings from Venezuela
BxrPZi4z9OA,<START> thanks for showind the life of the athletes during WOG
BxrPZi4z9OA,<START> No disrespectyour stay  Its not badnot bad at all  You are just not used to cold weather  You are not used to seeing snowif at all  Let me tell youthey almost usually come when its really cold  If your accommodation is really small understand they are just temporary  Enjoy your stay in Koreait is what it is
BxrPZi4z9OA,<START> Where can I get one of those beanies
BxrPZi4z9OA,<START> So they plan on tearing down the place later on  Why not keep it up and make them actual hotels
BxrPZi4z9OA,<START> your rooms are incredibly cold but you are wearing short sleeve tshirt in the room  haha why dont you turn on the heating You are in the WINTER Olympics dude  enjoy
BxrPZi4z9OA,<START> 543it was stand for mobile phone While you  and spend timehaha
BxrPZi4z9OA,<START> I still remember watching ㅠ ㅠ
BxrPZi4z9OA,<START> Okay its kinda sad that everywhere you stayed was freezing cold Was your room freezing as well In that case were sorry 
BxrPZi4z9OA,<START> came here after seeing the state of Tokyo Olympics I dont know you as an athlete but I hope you showed all you prepared and had no regretsFloors are linolium a bit like hard cork Sometimes when I drop glass on the floor they dont break But dw theyre durable
BxrPZi4z9OA,<START> I came all the way here because I was frustrated to see the Tokyo Athletes' Village
BxrPZi4z9OA,<START> Korea is the best
BxrPZi4z9OA,<START> Thats quite a crappy and unfinished apartment they let you stayed in So much for the Korean hospitality when theyve covered the whole kitchen with plastic boards and prevented you from using it
BxrPZi4z9OA,<START> Also vlad is a great guy
BxrPZi4z9OA,<START> Came back here watching your Olympic videos for inspiration in the sport I do
BxrPZi4z9OA,<START> Im so confused hes got our Aussie gear but he sounds Canadian Can someone explain whats going on please Hope you did well at the games mate
BxrPZi4z9OA,<START> Cool tourI finally moved tooI put up an empty apartment tour video  Check it out and let me know what you thinkSpoiler alert My place is not as pretty as yours P
BxrPZi4z9OA,<START> httpsyoutubec4QjImtkzQ   olympic experience vlogs  music video
BxrPZi4z9OA,<START> I wanted to take picture with you Australia my homecountry
BxrPZi4z9OA,<START> THX for nice info D
BxrPZi4z9OA,<START> Thanks for share the life of the athletes during the WOG Have fun Greetings from Venezuela
BxrPZi4z9OA,<START> thanks for showind the life of the athletes during WOG
BxrPZi4z9OA,<START> No disrespectyour stay  Its not badnot bad at all  You are just not used to cold weather  You are not used to seeing snowif at all  Let me tell youthey almost usually come when its really cold  If your accommodation is really small understand they are just temporary  Enjoy your stay in Koreait is what it is
BxrPZi4z9OA,<START> Where can I get one of those beanies
BxrPZi4z9OA,<START> So they plan on tearing down the place later on  Why not keep it up and make them actual hotels
BxrPZi4z9OA,<START> your rooms are incredibly cold but you are wearing short sleeve tshirt in the room  haha why dont you turn on the heating You are in the WINTER Olympics dude  enjoy
