Video Caption,Comment
【在现场】大雪封山！ 坡面障碍技巧比赛推迟到12点 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,喜欢谷爱凌，但应该客观，参加比赛的不是只有谷爱凌，也不是谷爱凌自己的比赛
【在现场】大雪封山！ 坡面障碍技巧比赛推迟到12点 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,剛好給老外看看真雪❄️❄️❄️
【在现场】大雪封山！ 坡面障碍技巧比赛推迟到12点 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,我要看谷爱凌
【在现场】大雪封山！ 坡面障碍技巧比赛推迟到12点 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,這是真正的冬季奧運會！
【在现场】大雪封山！ 坡面障碍技巧比赛推迟到12点 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,辛苦了
【在现场】大雪封山！ 坡面障碍技巧比赛推迟到12点 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,这人做雪也太过份吧！呵呵呵！中国已经能控制天气，為冬奥会下一場天然大雪
【在现场】大雪封山！ 坡面障碍技巧比赛推迟到12点 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,와 눈이당👐
【在现场】大雪封山！ 坡面障碍技巧比赛推迟到12点 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,GOD bless amen
【在现场】大雪封山！ 坡面障碍技巧比赛推迟到12点 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,各位工作人員要小心保重身體🙏
【在现场】大雪封山！ 坡面障碍技巧比赛推迟到12点 | 北京2022冬奥会 Winter Olympic Games Beijing 2022,大雪來了，助興。中國加油。
